stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
      8230,75257     ,TLSBWD-  76              ,94TH ST SW & 29TH AVE W                 ,                                        , 0, 0, 0,   47.913448, -122.272835
      8231,75260     ,TLSBWD-  76              ,5TH AVE NE & NE 130TH ST                ,                                        , 0, 1, 0,   47.722572, -122.323669
      8232,75303     ,TLSBWD-  76              ,5TH AVE NE & NE 130TH ST                ,                                        , 0, 0, 0,   47.723351, -122.323463
      8233,75304     ,TLSBWD-  76              ,NE 135TH ST & 1ST AVE NE                ,                                        , 0, 0, 0,   47.726868, -122.328461
      8234,75305     ,TLSBWD-  76              ,5TH AVE NE & NE 133RD ST P&R            ,                                        , 0, 0, 0,   47.726009, -122.323448
      8235,75307     ,TLSBWD-  76              ,5TH AVE NE & NE 145TH ST                ,                                        , 0, 1, 0,   47.734440, -122.323494
      8236,75310     ,TLSBWD-  76              ,NE 145TH ST & 5TH AVE NE                ,                                        , 0, 0, 0,   47.734123, -122.324081
      8237,75320     ,TLSBWD-  76              ,NE 145TH ST & 1ST AVE NE                ,                                        , 0, 0, 0,   47.734161, -122.328804
      8238,75330     ,TLSBWD-  76              ,N 145TH ST & CORLISS AVE N              ,                                        , 0, 0, 0,   47.734180, -122.331932
      8239,75340     ,TLSBWD-  76              ,N 145TH ST & MERIDIAN AVE N             ,                                        , 0, 0, 0,   47.734207, -122.334732
      8240,75350     ,TLSBWD-  76              ,N 145TH ST & COURTLAND PL N             ,                                        , 0, 0, 0,   47.734203, -122.338013
      8241,75360     ,TLSBWD-  76              ,N 145TH ST & INTERLAKE AVE N            ,                                        , 0, 0, 0,   47.734200, -122.341454
      8242,75370     ,TLSBWD-  76              ,N 145TH ST & AURORA AVE N               ,                                        , 0, 0, 0,   47.734200, -122.345604
      8243,75380     ,TLSBWD-  76              ,N 145TH ST & LINDEN AVE N               ,                                        , 0, 1, 0,   47.734200, -122.348213
      8244,75390     ,TLSBWD-  76              ,N 145TH ST & DAYTON AVE N               ,                                        , 0, 1, 0,   47.734200, -122.352928
      8245,75400     ,TLSBWD-  76              ,N 145TH ST & GREENWOOD AVE N            ,                                        , 0, 0, 0,   47.734200, -122.355141
      8246,75401     ,TLSBWD-  76              ,STEVENS WAY & MEMORIAL WAY              ,                                        , 0, 1, 0,   47.659691, -122.308823
      8247,75403     ,TLSBWD-  76              ,STEVENS WAY & BENTON LN                 ,                                        , 0, 1, 0,   47.654366, -122.305214
      8248,75404     ,TLSBWD-  76              ,STEVENS WAY & GARFIELD LN               ,                                        , 0, 1, 0,   47.652149, -122.308495
      8249,75405     ,TLSBWD-  76              ,GRANT LN & STEVENS WAY                  ,                                        , 0, 1, 0,   47.655102, -122.310921
      8250,75406     ,TLSBWD-  76              ,STEVENS WAY & PEND OREILLE RD           ,                                        , 0, 1, 0,   47.656876, -122.304909
      8251,75407     ,TLSBWD-  76              ,NW MARKET ST & 3RD AVE NW               ,                                        , 0, 1, 0,   47.667099, -122.361046
      8252,75408     ,TLSBWD-  76              ,AURORA AVE N & N 46TH ST                ,                                        , 0, 1, 0,   47.661671, -122.347488
      8253,75409     ,TLSBWD-  76              ,AURORA AVE N & N 46TH ST                ,                                        , 0, 1, 0,   47.661686, -122.347160
      8254,75410     ,TLSBWD-  76              ,STEVENS WAY & PEND OREILLE RD           ,                                        , 0, 1, 0,   47.657257, -122.304573
      8255,75411     ,TLSBWD-  76              ,STEVENS WAY & CHELAN LN                 ,                                        , 0, 1, 0,   47.659439, -122.306824
      8256,75412     ,TLSBWD-  76              ,GRANT LN & G WASHINGTON LN              ,                                        , 0, 1, 0,   47.655045, -122.311172
      8257,75414     ,TLSBWD-  76              ,STEVENS WAY & BENTON LN                 ,                                        , 0, 1, 0,   47.653713, -122.305038
      8258,75417     ,TLSBWD-  76              ,STEVENS WAY & OKANOGAN LN               ,                                        , 0, 1, 0,   47.652046, -122.308693
      8259,75430     ,TLSBWD-  76              ,DAYTON AVE N & N 150TH ST               ,                                        , 0, 1, 0,   47.737946, -122.353050
      8260,75440     ,TLSBWD-  76              ,DAYTON AVE N & 15300 BLOCK              ,                                        , 0, 1, 0,   47.739864, -122.353096
      8261,75450     ,TLSBWD-  76              ,DAYTON AVE N & N 155TH ST               ,                                        , 0, 1, 0,   47.741745, -122.353134
      8262,75460     ,TLSBWD-  76              ,DAYTON AVE N & N 160TH ST               ,                                        , 0, 1, 0,   47.744267, -122.353134
      8263,75470     ,TLSBWD-  76              ,DAYTON AVE N & N GREENWOOD DR           ,                                        , 0, 0, 0,   47.747780, -122.353485
      8264,75480     ,TLSBWD-  76              ,DAYTON AVE N & CARLYLE HALL RD N        ,                                        , 0, 0, 0,   47.749146, -122.354256
      8265,75490     ,TLSBWD-  76              ,DAYTON AVE N & N 167TH ST               ,                                        , 0, 0, 0,   47.751202, -122.354416
      8266,75500     ,TLSBWD-  76              ,DAYTON AVE N & N 171ST ST               ,                                        , 0, 0, 0,   47.753662, -122.353310
      8267,75510     ,TLSBWD-  76              ,DAYTON AVE N & ST. LUKE PL N            ,                                        , 0, 1, 0,   47.757324, -122.353294
      8268,75520     ,TLSBWD-  76              ,DAYTON AVE N & N 179TH PL               ,                                        , 0, 1, 0,   47.759342, -122.354515
      8269,75530     ,TLSBWD-  76              ,DAYTON AVE N & N 183RD ST               ,                                        , 0, 1, 0,   47.761578, -122.354759
      8270,75540     ,TLSBWD-  76              ,DAYTON AVE N & N 185TH ST               ,                                        , 0, 1, 0,   47.763218, -122.355415
      8271,75549     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 1ST AVE NW       ,                                        , 0, 1, 0,   47.765110, -122.358734
      8272,75550     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 3RD AVE NW       ,                                        , 0, 1, 0,   47.765141, -122.361656
      8273,75555     ,TLSBWD-  76              ,N 160TH ST & AURORA AVE N               ,                                        , 0, 1, 0,   47.745117, -122.346046
      8274,75560     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 8TH AVE NW       ,                                        , 0, 1, 0,   47.765179, -122.365356
      8275,75566     ,TLSBWD-  76              ,N 160TH ST & DAYTON AVE N               ,                                        , 0, 1, 0,   47.744965, -122.352753
      8276,75570     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 12TH AVE NW      ,                                        , 0, 1, 0,   47.768028, -122.372337
      8277,75580     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 15TH AVE NW      ,                                        , 0, 1, 0,   47.770157, -122.376961
      8278,75585     ,TLSBWD-  76              ,N 185TH ST & FREMONT AVE N              ,                                        , 0, 1, 0,   47.763294, -122.351151
      8279,75590     ,TLSBWD-  76              ,NW 195TH ST & 1700 BLOCK                ,                                        , 0, 1, 0,   47.770706, -122.379265
      8280,75592     ,TLSBWD-  76              ,NW 196TH ST & 20TH AVE NW               ,                                        , 0, 1, 0,   47.770905, -122.383148
      8281,75594     ,TLSBWD-  76              ,NW 196TH ST & NW 194TH PL               ,                                        , 0, 1, 0,   47.771774, -122.386986
      8282,75666     ,TLSBWD-  76              ,N 160TH ST & EVANSTON AVE N             ,                                        , 0, 1, 0,   47.745106, -122.352585
      8283,75670     ,TLSBWD-  76              ,NW 196TH ST & 26TH AVE NW               ,                                        , 0, 1, 0,   47.771835, -122.390617
      8284,75680     ,TLSBWD-  76              ,RICHMOND BEACH DR NW & NW 196TH ST      ,                                        , 0, 1, 0,   47.771412, -122.392151
      8285,75700     ,TLSBWD-  76              ,AURORA AVE N & N 200TH ST               ,                                        , 0, 1, 0,   47.773743, -122.346123
      8286,75720     ,TLSBWD-  76              ,AURORA AVE N & N 195TH ST               ,                                        , 0, 1, 0,   47.769958, -122.346046
      8287,75730     ,TLSBWD-  76              ,AURORA AVE N & N 192ND ST               ,                                        , 0, 1, 0,   47.767128, -122.346001
      8288,75732     ,TLSBWD-  76              ,N 185TH ST & AURORA AVE N               ,                                        , 0, 1, 0,   47.763168, -122.345566
      8289,75734     ,TLSBWD-  76              ,N 185TH ST & ASHWORTH AVE N             ,                                        , 0, 1, 0,   47.763187, -122.340225
      8290,75736     ,TLSBWD-  76              ,N 185TH ST & WALLINGFORD AVE N          ,                                        , 0, 1, 0,   47.763195, -122.337395
