stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,geo_node_id,stop_code
390e0005,"Cicero Ave & 47th St",,41.80745,-87.7429983,,9041,9041
390e0010,"Cicero Ave & 48th St",,41.8056566,-87.7429866,,9042,9042
390e0015,"Cicero Ave & 49th St",,41.8038283,-87.7429416,,9043,9043
390e0020,"Cicero Ave & 50th St",,41.8019316,-87.7428966,,9044,9044
390e0025,"Cicero Ave & 51st St",,41.8001733,-87.7428466,,9045,9045
390e0030,"Cicero Ave & Archer Ave",,41.799115,-87.7428183,,9046,9046
390e0035,"Cicero Ave & 53rd St",,41.7964666,-87.742745,,9047,9047
390e0045,"Cicero Ave & 55th St",,41.7936216,-87.7421066,,9049,9049
390e0064,"76th St & Cicero Ave",,41.7544183,-87.7412683,,37481,37481
390e0065,"Cicero Ave & W 63rd St",,41.7543966,-87.7412633,,9052,9052
390e0067,"7601 S Cicero Ave",,41.7543066,-87.73396,,13500,13500
390e0069,"Richard J. Daley College",,41.7550783,-87.7238766,,13502,13502
390e0072,"Pulaski Rd & 77th St",,41.7526116,-87.7219133,,13504,13504
390e0073,"Pulaski Rd & 78th St",,41.7512216,-87.72184,,13505,13505
390e0074,"Pulaski Rd & 79th St",,41.7498366,-87.7217633,,13506,13506
390e0076,"79th St & Karlov Ave",,41.7493583,-87.7244366,,13507,13507
390e0077,"79th St & Tripp Ave",,41.749305,-87.72729,,13508,13508
390e0078,"79th St & Kostner Ave",,41.7492249,-87.7318016,,13509,13509
390e0079,"79th St & Kilbourn Ave",,41.749175,-87.7343133,,13510,13510
390e0081,"79th St & Kilpatrick Ave (E)",,41.749115,-87.7373716,,13511,13511
390e0082,"79th St & Kilpatrick Ave (W)",,41.7490766,-87.7392716,,13512,13512
390e0083,"Cicero Ave & Marquette Rd",,41.7717266,-87.7419216,,9056,9056
390e0084,"79th St & Cicero Ave",,41.7490483,-87.740615,,13513,13513
390e0085,"79th St & Lamon Ave",,41.749035,-87.74399,,9057,9057
390e0090,"79th St & Lavergne Ave",,41.7489999,-87.74597,,9058,9058
390e0100,"79th St & Leclaire Ave",,41.7489483,-87.748875,,9060,9060
390e0105,"79th St & Laramie Ave",,41.7489033,-87.7512716,,9061,9061
390e0115,"79th St & Lockwood Ave",,41.7488533,-87.7537116,,9063,9063
